molecule_ID,cleaned_smiles
43,C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(N[C@@H](C)C(=O)OC(CC)CC)Oc2ccc(Cl)cc2)O[C@H]1n1ccc(=O)[nH]c1=O
44,C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(N[C@@H](C)C(=O)OC2CCCC2)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O
45,C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(N[C@@H](C)C(=O)OCc2ccccc2)Oc2ccc(Cl)cc2)O[C@H]1n1ccc(=O)[nH]c1=O
46,C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(N[C@@H](C)C(=O)O[C@@H](C)CC)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O
47,C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(N[C@@H](C)C(=O)O[C@H](C)CC)Oc2ccc(Cl)cc2)O[C@H]1n1ccc(=O)[nH]c1=O
48,C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(N[C@@H](C)C(=O)O[C@H](C)CC)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O
49,C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(N[C@@H](Cc2ccccc2)C(=O)OC(C)C)Oc2ccc(Cl)cc2)O[C@H]1n1ccc(=O)[nH]c1=O
50,C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(OCOC(=O)C(C)(C)C)OCOC(=O)C(C)(C)C)O[C@H]1n1ccc(=O)[nH]c1=O
51,C#C[C@@]1(O)[C@H](O)[C@@H](COP(=S)(N[C@@H](C)C(=O)OC(C)C)Oc2ccc(Cl)cc2)O[C@H]1n1ccc(=O)[nH]c1=O
52,C#C[C@@]1(O)[C@H](O)[C@@H](COP(=S)(N[C@@H](C)C(=O)OC(C)C)Oc2ccc(F)c(Cl)c2)O[C@H]1n1ccc(=O)[nH]c1=O
53,C#C[C@@]1(O)[C@H](O)[C@@H](COP(=S)(N[C@@H](C)C(=O)OC(C)C)Oc2ccc(F)cc2)O[C@H]1n1ccc(=O)[nH]c1=O
54,C#C[C@@]1(O)[C@H](O)[C@@H](COP(=S)(N[C@@H](C)C(=O)OC(C)C)Oc2cccc3ccccc23)O[C@H]1n1ccc(=O)[nH]c1=O
55,C#C[C@@]1(O)[C@H](O)[C@@H](COP(=S)(N[C@@H](C)C(=O)OC(C)C)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O
56,C#C[C@@]1(O)[C@H](O)[C@@H](COP(=S)(N[C@@H](CCC)C(=O)OC(C)C)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O
57,C#C[C@@]1(O)[C@H](O)[C@@H](COP(=S)(N[C@@H](CCSC)C(=O)OC(C)C)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O
58,C#C[C@@]1(O)[C@H](O)[C@@H](CO[P@@](=O)(N[C@@H](C)C(=O)OC(C)C)Oc2ccccc2)O[C@H]1n1ccc2c(N)ncnc21
59,C#C[C@@]1(O)[C@H](O)[C@@](F)(CO)O[C@H]1n1cnc2c(N)ncnc21
60,C#C[C@@]1(O)[C@H](O)[C@@](F)(COP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O
61,C#C[C@@]1(O)[C@H](OC(=O)C(C)C)[C@@H](COC(=O)C(C)C)O[C@H]1n1cc(C(N)=O)c2c(N)ncnc21
62,C#C[C@@]1(O)[C@H](OC(=O)C(C)C)[C@@H](COP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O
63,C#C[C@]1(C)[C@@H]2OP(=O)(OCCCC(=O)OC3CCCC3)OC[C@H]2O[C@H]1n1ccc(=O)[nH]c1=O
64,C#C[C@]1(C)[C@@H]2O[P@](=O)(OCCC(C)C(=O)OC3CCCC3)OC[C@H]2O[C@H]1n1ccc(=O)[nH]c1=O
65,C#C[C@]1(C)[C@@H]2O[P@](=O)(OCCCC(=O)OC(C)C)OC[C@H]2O[C@H]1n1ccc(=O)[nH]c1=O
66,C#C[C@]1(C)[C@H](O)[C@@H](COP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O
67,C#C[C@]1(CO)C(=C)[C@@H](n2cnc3c(=O)[nH]c(N)nc32)C[C@@H]1O
68,C#C[C@]1(CO)O[C@@H](n2ccc(N)nc2=O)C=C1F
69,C#C[C@]1(CO)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](F)[C@@H]1O
70,C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O
71,C#Cc1c(C#N)ncn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
72,C#Cc1c(C(N)=O)ncn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
73,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
74,C#Cc1cn([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12
75,C#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c2ncnc(N)c12
76,C#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)c2ncnc(N)c12
77,C#Cc1cn([C@@H]2O[C@](C)(CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12
78,C#Cc1csc(-c2cc(O[C@H]3CC[C@H]4C(=O)N(C)CCCC/C=C\[C@@H]5C[C@@]5(C(=O)NS(=O)(=O)C5(C)CC5)NC(=O)[C@@H]4C3)c3ccc(OC)c(C)c3n2)n1
79,C#Cc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1
80,C(=C/c1ccccc1)\CC1CCCN1CC1CC1
81,C(=C/c1ccccc1)\c1ccccc1
82,C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)C3=CC[C@]12C)C(=O)O
